bank,review,rating,date,source,cleaned,sentiment,theme
CBE,it will be more better if the app have the feature receipt verifying from QR CODE SCREENSHOT IMAGES FROM gallery ... currently IT WORKS ONLY FROM DIRECT CAMERA CAPTURING,4,2025-09-23,Google Play,well app feature receipt verifying QR code screenshot image gallery currently work direct camera capturing,NEGATIVE,Feature Requests
CBE,"From the UX perspective it can be better, it's old and it's not obvious where you can find some things",3,2025-09-22,Google Play,UX perspective well old obvious find thing,NEGATIVE,Other
CBE,It is amazing app but it is more better if it is possible to transfer from account to other telebirr,5,2025-09-22,Google Play,amazing app well possible transfer account telebirr,POSITIVE,Other
CBE,"The app was great while it was active. However, after the app did an update, I lost connection with a message ""Network Error"". Please try to fix it as there are many clients of CBE using this app globally from abroad countries.",3,2025-09-21,Google Play,app great active app update lose connection message Network Error try fix client CBE app globally abroad country,NEGATIVE,Other
CBE,very important app,4,2025-09-21,Google Play,important app,POSITIVE,Other
CBE,the best of all mobile banking in Ethiopia works perfectly fine,5,2025-09-21,Google Play,good mobile banking Ethiopia work perfectly fine,POSITIVE,Other
CBE,DANTRO BAND!!!,5,2025-09-21,Google Play,dantro band,POSITIVE,Other
CBE,some time when make transfer from Mobile account to other cbebirr wallet no show customer name so please check it......thanks my cbe.. cbebirr application very nice application wallet,5,2025-09-20,Google Play,time transfer Mobile account cbebirr wallet customer check thank cbe cbebirr application nice application wallet,POSITIVE,Other
CBE,this app is very useful but sometimes when you want to see specific transactions it didn't work so that way i gave 3,3,2025-09-20,Google Play,app useful want specific transaction work way give,POSITIVE,Other
CBE,why i must visit the branch i opened my account to activate the mobile banking services? if it a connected network it maybe done from any branch.,1,2025-09-20,Google Play,visit branch open account activate mobile banking service connected network maybe branch,NEGATIVE,Other
CBE,አሪፍ ነው አሁን ደግሞ እስክሪን ሹት ማረግ በመቻሌ ደግብሎኛል,5,2025-09-20,Google Play,አሪፍ ነው አሁን ደግሞ እስክሪን ሹት ማረግ በመቻሌ ደግብሎኛል,NEGATIVE,Other
CBE,asfaw damse,5,2025-09-19,Google Play,asfaw damse,NEGATIVE,Other
CBE,jabadhaa namatii tolataan,5,2025-09-19,Google Play,jabadhaa namatii tolataan,NEGATIVE,Other
CBE,"The App is very good in its interface and user friendly. But it could be a pro app had it had additional feature that let us run multiple accounts on a single phone with an option of ""additional"" account!",3,2025-09-19,Google Play,App good interface user friendly pro app additional feature let run multiple account single phone option additional account,POSITIVE,User Interface & Experience
CBE,The app is user friendly. But i want some amendment or include option of sending money to other tele birr like other cbe birr.,4,2025-09-18,Google Play,app user friendly want amendment include option send money tele birr like cbe birr,NEGATIVE,Other
CBE,Truly amazing!,5,2025-09-18,Google Play,truly amazing,POSITIVE,Other
CBE,Doesn't have option to generate statement for transactions,3,2025-09-18,Google Play,option generate statement transaction,POSITIVE,Other
CBE,😎,5,2025-09-18,Google Play,,POSITIVE,Other
